feature_name,feature_importance
Delivery,-0.019633656039212376
delivery_sales_ratio,0.008195382634556223
production_sales_ratio,-0.0043295000746829855
Production,-0.0030719913174057497
inventory_proxy,-0.0012712827324180198
Sales_lag_28,-0.0011631420735484332
Factory_Issue,-0.0009083370610460612
Sales_lag_7,-0.0007617165288660362
Sales_lag_3,-0.0007313641308149166
Sales_lag_2,-0.0006877146305075671
factory_issue_rate,0.0006445733186681005
Sales_lag_21,-0.0005996061292228497
Sub-Group,0.00023765075693540065
Product,-0.00022923459013807326
Sales_lag_1,-0.00013178213468917216
stock_market_close,-0.00012496612196207326
Temperature,-0.00010154102949271072
balance_of_trade,-9.750955200307016e-05
imports,-8.942531340358179e-05
holiday_type,8.21776443232679e-05
